Size,Viable,Dead,Total
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,6,1,7
5,5,0,5
6,3,0,3
7,12,1,13
8,25,0,25
9,13,0,13
10,55,1,56
11,72,0,72
12,66,1,67
13,23,1,24
14,10,0,10
15,3,0,3
16,3,0,3
17,0,0,0
18,0,0,0
19,0,0,0
20,1,0,1
21,0,0,0
22,2,0,2
23,0,0,0
24,0,0,0
25,1,0,1
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
