Loadstar Sensors SensorVUE - Log File
Units for M3-17576:,lbf
Units for Peak (M3-17576):,lbf
Units for Low (M3-17576):,lbf
Logging Interval:,1 sec  (1 Hz)
--------------------------------------------------------------------------------
*** Use custom format 'hh:mm:ss.000' in Microsoft Excel to correctly display the time stamp in milliseconds. ***
------------------------------------------------------------------------------------------------------------------------
Time,Elapsed Time(sec),M3-17576,Peak (M3-17576),Low (M3-17576),
2018-08-09 18:02:51.602,1.003,0.00,0.00,0.00,,
2018-08-09 18:02:52.611,2.012,0.00,0.00,0.00,,
2018-08-09 18:02:53.602,3.003,0.00,0.00,0.00,,
2018-08-09 18:02:54.609,4.010,0.00,0.01,0.00,,
2018-08-09 18:02:55.601,5.002,0.00,0.01,0.00,,
2018-08-09 18:02:56.609,6.010,0.00,0.01,0.00,,
2018-08-09 18:02:57.600,7.001,0.00,0.01,0.00,,
2018-08-09 18:02:58.608,8.009,0.00,0.01,0.00,,
2018-08-09 18:02:59.599,9.000,0.00,0.01,0.00,,
2018-08-09 18:03:00.607,10.008,0.00,0.01,0.00,,
2018-08-09 18:03:01.599,11.000,0.01,0.01,0.00,,
2018-08-09 18:03:02.606,12.007,0.01,0.01,0.00,,
2018-08-09 18:03:03.662,13.063,0.01,0.01,0.00,,
2018-08-09 18:03:04.606,14.007,0.01,0.01,0.00,,
2018-08-09 18:03:05.597,14.998,0.01,0.01,0.00,,
2018-08-09 18:03:06.605,16.006,0.01,0.01,0.00,,
2018-08-09 18:03:07.597,16.998,0.01,0.01,0.00,,
2018-08-09 18:03:08.604,18.005,0.01,0.01,0.00,,
2018-08-09 18:03:09.628,19.029,0.01,0.01,0.00,,
2018-08-09 18:03:10.603,20.004,0.01,0.01,0.00,,
2018-08-09 18:03:11.611,21.012,0.01,0.01,0.00,,
2018-08-09 18:03:12.603,22.004,0.01,0.01,0.00,,
2018-08-09 18:03:13.610,23.011,0.01,0.01,0.00,,
2018-08-09 18:03:14.602,24.003,0.01,0.01,0.00,,
2018-08-09 18:03:15.609,25.010,0.01,0.01,0.00,,
2018-08-09 18:03:16.649,26.050,0.01,0.01,0.00,,
2018-08-09 18:03:17.609,27.010,0.01,0.01,0.00,,
2018-08-09 18:03:18.600,28.001,0.01,0.01,0.00,,
2018-08-09 18:03:19.608,29.009,0.02,0.02,0.00,,
2018-08-09 18:03:20.599,30.000,0.02,0.02,0.00,,
2018-08-09 18:03:21.607,31.008,0.02,0.02,0.00,,
2018-08-09 18:03:22.599,32.000,0.02,0.02,0.00,,
2018-08-09 18:03:23.606,33.007,0.02,0.02,0.00,,
2018-08-09 18:03:24.598,33.999,0.02,0.02,0.00,,
2018-08-09 18:03:25.606,35.007,0.02,0.02,0.00,,
2018-08-09 18:03:26.597,35.998,0.02,0.02,0.00,,
2018-08-09 18:03:27.605,37.006,0.02,0.02,0.00,,
2018-08-09 18:03:28.612,38.013,0.02,0.02,0.00,,
2018-08-09 18:03:29.636,39.037,0.02,0.02,0.00,,
2018-08-09 18:03:30.612,40.013,0.02,0.02,0.00,,
2018-08-09 18:03:31.603,41.004,0.02,0.02,0.00,,
2018-08-09 18:03:32.611,42.012,0.02,0.02,0.00,,
2018-08-09 18:03:33.602,43.003,0.02,0.02,0.00,,
2018-08-09 18:03:34.610,44.011,0.02,0.02,0.00,,
2018-08-09 18:03:35.649,45.050,0.02,0.02,0.00,,
2018-08-09 18:03:36.609,46.010,0.02,0.02,0.00,,
2018-08-09 18:03:37.601,47.002,0.02,0.02,0.00,,
2018-08-09 18:03:38.608,48.009,0.02,0.03,0.00,,
2018-08-09 18:03:39.600,49.001,0.02,0.03,0.00,,
2018-08-09 18:03:40.640,50.041,0.02,0.03,0.00,,
2018-08-09 18:03:41.631,51.032,0.02,0.03,0.00,,
2018-08-09 18:03:42.639,52.040,0.02,0.04,0.00,,
2018-08-09 18:03:43.598,52.999,0.02,0.04,0.00,,
2018-08-09 18:03:44.606,54.007,0.02,0.04,0.00,,
2018-08-09 18:03:45.598,54.999,0.02,0.04,0.00,,
2018-08-09 18:03:46.605,56.006,0.02,0.04,0.00,,
2018-08-09 18:03:47.597,56.998,0.02,0.04,0.00,,
2018-08-09 18:03:48.652,58.053,0.02,0.04,0.00,,
2018-08-09 18:03:49.676,59.077,0.02,0.04,0.00,,
2018-08-09 18:03:50.604,60.005,0.02,0.04,0.00,,
2018-08-09 18:03:51.611,61.012,0.02,0.04,0.00,,
2018-08-09 18:03:52.603,62.004,0.02,0.04,0.00,,
2018-08-09 18:03:53.610,63.011,0.02,0.04,0.00,,
2018-08-09 18:03:54.666,64.067,0.02,0.04,0.00,,
2018-08-09 18:03:55.674,65.075,0.02,0.04,0.00,,
2018-08-09 18:03:56.606,66.007,0.02,0.04,0.00,,
2018-08-09 18:03:57.609,67.010,0.02,0.04,0.00,,
2018-08-09 18:03:58.601,68.002,0.02,0.04,0.00,,
