Loadstar Sensors SensorVUE - Log File
Units for M3-17576:,lbf
Units for Peak (M3-17576):,lbf
Units for Low (M3-17576):,lbf
Logging Interval:,1 sec  (1 Hz)
--------------------------------------------------------------------------------
*** Use custom format 'hh:mm:ss.000' in Microsoft Excel to correctly display the time stamp in milliseconds. ***
------------------------------------------------------------------------------------------------------------------------
Time,Elapsed Time(sec),M3-17576,Peak (M3-17576),Low (M3-17576),
2018-08-09 17:15:41.749,1.164,0.00,0.00,0.00,,
2018-08-09 17:15:42.740,2.155,0.00,0.00,0.00,,
2018-08-09 17:15:43.748,3.163,0.00,0.00,0.00,,
2018-08-09 17:15:44.740,4.155,0.00,0.00,0.00,,
2018-08-09 17:15:45.748,5.163,0.00,0.00,0.00,,
2018-08-09 17:15:46.740,6.155,0.00,0.00,0.00,,
2018-08-09 17:15:47.747,7.162,0.00,0.00,0.00,,
2018-08-09 17:15:48.739,8.154,0.00,0.00,0.00,,
2018-08-09 17:15:57.940,0.063,0.00,0.00,0.00,,
2018-08-09 17:15:57.957,0.080,0.00,0.00,0.00,,
2018-08-09 17:15:57.972,0.095,0.00,0.00,0.00,,
2018-08-09 17:15:58.004,0.127,0.00,0.00,0.00,,
2018-08-09 17:15:58.020,0.143,0.00,0.00,0.00,,
2018-08-09 17:15:58.036,0.159,0.00,0.00,0.00,,
2018-08-09 17:15:58.052,0.175,0.00,0.00,0.00,,
2018-08-09 17:15:58.084,0.207,0.00,0.00,0.00,,
2018-08-09 17:15:58.100,0.223,0.00,0.00,0.00,,
2018-08-09 17:15:58.116,0.239,0.00,0.00,0.00,,
2018-08-09 17:15:58.132,0.255,0.00,0.00,0.00,,
2018-08-09 17:15:58.164,0.287,0.00,0.00,0.00,,
2018-08-09 17:15:58.180,0.303,0.00,0.00,0.00,,
2018-08-09 17:15:58.196,0.319,0.00,0.00,0.00,,
2018-08-09 17:15:58.212,0.335,0.00,0.00,0.00,,
2018-08-09 17:15:58.244,0.367,0.00,0.00,0.00,,
2018-08-09 17:15:58.260,0.383,0.00,0.00,0.00,,
2018-08-09 17:15:58.276,0.399,0.00,0.00,0.00,,
2018-08-09 17:15:58.292,0.415,0.00,0.00,0.00,,
2018-08-09 17:15:58.324,0.447,0.00,0.00,0.00,,
2018-08-09 17:15:58.340,0.463,0.00,0.00,0.00,,
2018-08-09 17:15:58.356,0.479,0.00,0.00,0.00,,
2018-08-09 17:15:58.372,0.495,0.00,0.00,0.00,,
2018-08-09 17:15:58.404,0.527,0.00,0.00,0.00,,
2018-08-09 17:15:58.420,0.543,0.00,0.00,0.00,,
2018-08-09 17:15:58.436,0.559,0.00,0.00,0.00,,
2018-08-09 17:15:58.452,0.575,0.00,0.00,0.00,,
2018-08-09 17:15:58.484,0.607,0.00,0.00,0.00,,
2018-08-09 17:15:58.500,0.623,0.00,0.00,0.00,,
2018-08-09 17:15:58.516,0.639,0.00,0.00,0.00,,
2018-08-09 17:15:58.532,0.655,0.00,0.00,0.00,,
2018-08-09 17:15:58.564,0.687,0.00,0.00,0.00,,
2018-08-09 17:15:58.580,0.703,0.00,0.00,0.00,,
2018-08-09 17:15:58.596,0.719,0.00,0.00,0.00,,
2018-08-09 17:15:58.612,0.735,0.00,0.00,0.00,,
2018-08-09 17:15:58.644,0.767,0.00,0.00,0.00,,
2018-08-09 17:15:58.660,0.783,0.00,0.00,0.00,,
2018-08-09 17:15:58.676,0.799,0.00,0.00,0.00,,
2018-08-09 17:15:58.692,0.815,0.00,0.00,0.00,,
2018-08-09 17:15:58.724,0.847,0.00,0.00,0.00,,
2018-08-09 17:15:58.740,0.863,0.00,0.00,0.00,,
2018-08-09 17:15:58.756,0.879,0.00,0.00,0.00,,
2018-08-09 17:15:58.772,0.895,0.00,0.00,0.00,,
2018-08-09 17:15:58.804,0.927,0.00,0.00,0.00,,
2018-08-09 17:15:58.820,0.943,0.00,0.00,0.00,,
2018-08-09 17:15:58.836,0.959,0.00,0.00,0.00,,
2018-08-09 17:15:58.852,0.975,0.00,0.00,0.00,,
2018-08-09 17:15:58.884,1.007,0.00,0.00,0.00,,
2018-08-09 17:15:58.900,1.023,0.00,0.00,0.00,,
2018-08-09 17:15:58.916,1.039,0.00,0.00,0.00,,
2018-08-09 17:15:58.932,1.055,0.00,0.00,0.00,,
2018-08-09 17:15:58.964,1.087,0.00,0.00,0.00,,
2018-08-09 17:15:58.980,1.103,0.00,0.00,0.00,,
2018-08-09 17:15:58.996,1.119,0.00,0.00,0.00,,
2018-08-09 17:15:59.012,1.135,0.00,0.00,0.00,,
2018-08-09 17:15:59.044,1.167,0.00,0.00,0.00,,
2018-08-09 17:15:59.060,1.183,0.00,0.00,0.00,,
2018-08-09 17:15:59.076,1.199,0.00,0.00,0.00,,
2018-08-09 17:15:59.092,1.215,0.00,0.00,0.00,,
2018-08-09 17:15:59.124,1.247,0.00,0.00,0.00,,
2018-08-09 17:15:59.140,1.263,0.00,0.00,0.00,,
2018-08-09 17:15:59.156,1.279,0.00,0.00,0.00,,
2018-08-09 17:15:59.172,1.295,0.00,0.00,0.00,,
2018-08-09 17:15:59.204,1.327,0.00,0.00,0.00,,
2018-08-09 17:15:59.220,1.343,0.00,0.00,0.00,,
2018-08-09 17:15:59.236,1.359,0.00,0.00,0.00,,
2018-08-09 17:15:59.252,1.375,0.00,0.00,0.00,,
2018-08-09 17:15:59.284,1.407,0.00,0.00,0.00,,
2018-08-09 17:15:59.300,1.423,0.00,0.00,0.00,,
2018-08-09 17:15:59.316,1.439,0.00,0.00,0.00,,
2018-08-09 17:15:59.332,1.455,0.00,0.00,0.00,,
2018-08-09 17:15:59.364,1.487,0.00,0.00,0.00,,
2018-08-09 17:15:59.380,1.503,0.00,0.00,0.00,,
2018-08-09 17:15:59.396,1.519,0.00,0.00,0.00,,
2018-08-09 17:15:59.412,1.535,0.00,0.00,0.00,,
2018-08-09 17:15:59.444,1.567,0.00,0.00,0.00,,
2018-08-09 17:15:59.460,1.583,0.00,0.00,0.00,,
2018-08-09 17:15:59.476,1.599,0.00,0.00,0.00,,
2018-08-09 17:15:59.492,1.615,0.00,0.00,0.00,,
2018-08-09 17:15:59.524,1.647,0.00,0.00,0.00,,
2018-08-09 17:15:59.540,1.663,0.00,0.00,0.00,,
2018-08-09 17:15:59.556,1.679,0.00,0.00,0.00,,
2018-08-09 17:15:59.572,1.695,0.00,0.00,0.00,,
2018-08-09 17:15:59.604,1.727,0.00,0.00,0.00,,
2018-08-09 17:15:59.620,1.743,0.00,0.00,0.00,,
2018-08-09 17:15:59.636,1.759,0.00,0.00,0.00,,
2018-08-09 17:15:59.652,1.775,0.00,0.00,0.00,,
2018-08-09 17:15:59.684,1.807,0.00,0.00,0.00,,
2018-08-09 17:15:59.700,1.823,0.00,0.00,0.00,,
2018-08-09 17:15:59.716,1.839,0.00,0.00,0.00,,
2018-08-09 17:15:59.732,1.855,0.00,0.00,0.00,,
2018-08-09 17:15:59.764,1.887,0.00,0.00,0.00,,
2018-08-09 17:15:59.780,1.903,0.00,0.00,0.00,,
2018-08-09 17:15:59.796,1.919,0.00,0.00,0.00,,
2018-08-09 17:15:59.812,1.935,0.00,0.00,0.00,,
2018-08-09 17:15:59.844,1.967,0.00,0.00,0.00,,
2018-08-09 17:15:59.860,1.983,0.00,0.00,0.00,,
2018-08-09 17:15:59.876,1.999,0.00,0.00,0.00,,
