Loadstar Sensors SensorVUE - Log File
Units for M3-17576:,lbf
Units for Peak (M3-17576):,lbf
Units for Low (M3-17576):,lbf
Logging Interval:,0.05 sec  (20 Hz)
--------------------------------------------------------------------------------
*** Use custom format 'hh:mm:ss.000' in Microsoft Excel to correctly display the time stamp in milliseconds. ***
------------------------------------------------------------------------------------------------------------------------
Time,Elapsed Time(sec),M3-17576,Peak (M3-17576),Low (M3-17576),
2018-08-09 17:33:01.872,0.061,0.00,0.00,0.00,,
2018-08-09 17:33:01.937,0.126,0.00,0.00,0.00,,
2018-08-09 17:33:01.985,0.174,0.00,0.00,0.00,,
2018-08-09 17:33:02.032,0.221,0.00,0.00,0.00,,
2018-08-09 17:33:02.080,0.269,0.00,0.00,0.00,,
2018-08-09 17:33:02.128,0.317,0.00,0.00,0.00,,
2018-08-09 17:33:02.176,0.365,0.00,0.00,0.00,,
2018-08-09 17:33:02.224,0.413,0.00,0.00,0.00,,
2018-08-09 17:33:02.272,0.461,0.00,0.00,0.00,,
2018-08-09 17:33:02.336,0.525,0.00,0.00,0.00,,
2018-08-09 17:33:02.384,0.573,0.00,0.00,0.00,,
2018-08-09 17:33:02.432,0.621,0.00,0.00,0.00,,
2018-08-09 17:33:02.480,0.669,0.00,0.00,0.00,,
2018-08-09 17:33:02.528,0.717,0.00,0.00,0.00,,
2018-08-09 17:33:02.576,0.765,0.00,0.00,0.00,,
2018-08-09 17:33:02.624,0.813,0.00,0.00,0.00,,
2018-08-09 17:33:02.672,0.861,0.00,0.00,0.00,,
2018-08-09 17:33:02.736,0.925,0.00,0.00,0.00,,
2018-08-09 17:33:02.784,0.973,0.00,0.00,0.00,,
2018-08-09 17:33:02.832,1.021,0.00,0.00,0.00,,
2018-08-09 17:33:02.880,1.069,0.00,0.00,0.00,,
2018-08-09 17:33:02.928,1.117,0.00,0.00,0.00,,
2018-08-09 17:33:02.976,1.165,0.00,0.00,0.00,,
2018-08-09 17:33:03.024,1.213,0.00,0.00,0.00,,
2018-08-09 17:33:03.072,1.261,0.00,0.00,0.00,,
2018-08-09 17:33:03.136,1.325,0.00,0.00,0.00,,
2018-08-09 17:33:03.184,1.373,0.00,0.00,0.00,,
2018-08-09 17:33:03.232,1.421,0.00,0.00,0.00,,
2018-08-09 17:33:03.280,1.469,0.00,0.00,0.00,,
2018-08-09 17:33:03.328,1.517,0.00,0.00,0.00,,
2018-08-09 17:33:03.376,1.565,0.00,0.00,0.00,,
2018-08-09 17:33:03.424,1.613,0.00,0.00,0.00,,
2018-08-09 17:33:03.488,1.677,0.00,0.00,0.00,,
2018-08-09 17:33:03.536,1.725,0.00,0.00,0.00,,
2018-08-09 17:33:03.584,1.773,0.00,0.00,0.00,,
2018-08-09 17:33:03.632,1.821,0.00,0.00,0.00,,
2018-08-09 17:33:03.680,1.869,0.00,0.00,0.00,,
2018-08-09 17:33:03.728,1.917,0.00,0.00,0.00,,
2018-08-09 17:33:03.776,1.965,0.00,0.00,0.00,,
2018-08-09 17:33:03.824,2.013,0.00,0.00,0.00,,
2018-08-09 17:33:03.872,2.061,0.00,0.00,0.00,,
2018-08-09 17:33:03.936,2.125,0.00,0.00,0.00,,
2018-08-09 17:33:03.984,2.173,0.00,0.00,0.00,,
2018-08-09 17:33:04.032,2.221,0.00,0.00,0.00,,
2018-08-09 17:33:04.080,2.269,0.00,0.00,0.00,,
2018-08-09 17:33:04.128,2.317,0.00,0.00,0.00,,
2018-08-09 17:33:04.176,2.365,0.00,0.00,0.00,,
2018-08-09 17:33:04.224,2.413,0.00,0.00,0.00,,
2018-08-09 17:33:04.273,2.462,0.00,0.00,0.00,,
2018-08-09 17:33:04.335,2.524,0.00,0.00,0.00,,
2018-08-09 17:33:04.383,2.572,0.00,0.00,0.00,,
2018-08-09 17:33:04.431,2.620,0.00,0.00,0.00,,
2018-08-09 17:33:04.480,2.669,0.00,0.00,0.00,,
2018-08-09 17:33:04.528,2.717,0.00,0.00,0.00,,
2018-08-09 17:33:04.576,2.765,0.00,0.00,0.00,,
2018-08-09 17:33:04.624,2.813,0.00,0.00,0.00,,
2018-08-09 17:33:04.688,2.877,0.00,0.00,0.00,,
2018-08-09 17:33:04.736,2.925,0.00,0.00,0.00,,
2018-08-09 17:33:04.784,2.973,0.00,0.00,0.00,,
2018-08-09 17:33:04.832,3.021,0.00,0.00,0.00,,
2018-08-09 17:33:04.880,3.069,0.00,0.00,0.00,,
2018-08-09 17:33:04.928,3.117,0.00,0.00,0.00,,
2018-08-09 17:33:04.976,3.165,0.00,0.00,0.00,,
2018-08-09 17:33:05.024,3.213,0.00,0.00,0.00,,
2018-08-09 17:33:05.088,3.277,0.00,0.00,0.00,,
2018-08-09 17:33:05.135,3.324,0.00,0.00,0.00,,
2018-08-09 17:33:05.184,3.373,0.00,0.00,0.00,,
2018-08-09 17:33:05.232,3.421,0.00,0.00,0.00,,
2018-08-09 17:33:05.280,3.469,0.00,0.00,0.00,,
2018-08-09 17:33:05.328,3.517,0.00,0.00,0.00,,
2018-08-09 17:33:05.376,3.565,0.00,0.00,0.00,,
2018-08-09 17:33:05.424,3.613,0.00,0.00,0.00,,
2018-08-09 17:33:05.488,3.677,0.00,0.00,0.00,,
2018-08-09 17:33:05.536,3.725,0.00,0.00,0.00,,
2018-08-09 17:33:05.584,3.773,0.00,0.00,0.00,,
2018-08-09 17:33:05.632,3.821,0.00,0.00,0.00,,
2018-08-09 17:33:05.680,3.869,0.00,0.00,0.00,,
2018-08-09 17:33:05.728,3.917,0.00,0.00,0.00,,
2018-08-09 17:33:05.776,3.965,0.00,0.00,0.00,,
2018-08-09 17:33:05.823,4.012,0.00,0.00,0.00,,
2018-08-09 17:33:05.887,4.076,0.00,0.00,0.00,,
2018-08-09 17:33:05.935,4.124,0.00,0.00,0.00,,
2018-08-09 17:33:05.983,4.172,0.00,0.00,0.00,,
2018-08-09 17:33:06.031,4.220,0.00,0.00,0.00,,
2018-08-09 17:33:06.079,4.268,0.00,0.00,0.00,,
2018-08-09 17:33:06.127,4.316,0.00,0.00,0.00,,
2018-08-09 17:33:06.175,4.364,0.00,0.00,0.00,,
2018-08-09 17:33:06.223,4.412,0.00,0.00,0.00,,
2018-08-09 17:33:06.287,4.476,0.00,0.00,0.00,,
2018-08-09 17:33:06.335,4.524,0.00,0.00,0.00,,
2018-08-09 17:33:06.383,4.572,0.00,0.00,0.00,,
2018-08-09 17:33:06.431,4.620,0.00,0.00,0.00,,
2018-08-09 17:33:06.479,4.668,0.00,0.00,0.00,,
2018-08-09 17:33:06.527,4.716,0.00,0.00,0.00,,
2018-08-09 17:33:06.575,4.764,0.00,0.00,0.00,,
2018-08-09 17:33:06.623,4.812,0.00,0.00,0.00,,
2018-08-09 17:33:06.687,4.876,0.00,0.00,0.00,,
2018-08-09 17:33:06.734,4.923,0.00,0.00,0.00,,
2018-08-09 17:33:06.783,4.972,0.00,0.00,0.00,,
2018-08-09 17:33:06.831,5.020,0.00,0.00,0.00,,
2018-08-09 17:33:06.879,5.068,0.00,0.00,0.00,,
2018-08-09 17:33:06.927,5.116,0.00,0.00,0.00,,
2018-08-09 17:33:06.974,5.163,0.00,0.00,0.00,,
2018-08-09 17:33:07.022,5.211,0.00,0.00,0.00,,
2018-08-09 17:33:07.086,5.275,0.00,0.00,0.00,,
2018-08-09 17:33:07.134,5.323,0.00,0.00,0.00,,
2018-08-09 17:33:07.182,5.371,0.00,0.00,0.00,,
2018-08-09 17:33:07.230,5.419,0.00,0.00,0.00,,
2018-08-09 17:33:07.279,5.468,0.00,0.00,0.00,,
2018-08-09 17:33:07.326,5.515,0.00,0.00,0.00,,
2018-08-09 17:33:07.374,5.563,0.01,0.01,-0.01,,
2018-08-09 17:33:07.422,5.611,0.00,0.01,-0.01,,
2018-08-09 17:33:07.486,5.675,0.00,0.01,-0.01,,
2018-08-09 17:33:07.534,5.723,0.00,0.01,-0.01,,
2018-08-09 17:33:07.582,5.771,0.00,0.01,-0.01,,
2018-08-09 17:33:07.630,5.819,0.00,0.01,-0.01,,
2018-08-09 17:33:07.678,5.867,0.00,0.01,-0.01,,
2018-08-09 17:33:07.726,5.915,0.00,0.01,-0.01,,
2018-08-09 17:33:07.774,5.963,0.00,0.01,-0.01,,
2018-08-09 17:33:07.822,6.011,0.00,0.01,-0.01,,
2018-08-09 17:33:07.934,6.123,0.00,0.01,-0.01,,
2018-08-09 17:33:07.982,6.171,0.00,0.01,-0.01,,
2018-08-09 17:33:08.030,6.219,0.00,0.01,-0.01,,
2018-08-09 17:33:08.078,6.267,0.00,0.01,-0.01,,
2018-08-09 17:33:08.126,6.315,0.00,0.01,-0.01,,
2018-08-09 17:33:08.174,6.363,0.00,0.01,-0.01,,
2018-08-09 17:33:08.238,6.427,0.00,0.01,-0.01,,
2018-08-09 17:33:08.286,6.475,0.00,0.01,-0.01,,
2018-08-09 17:33:08.334,6.523,0.00,0.01,-0.01,,
2018-08-09 17:33:08.382,6.571,0.00,0.01,-0.01,,
2018-08-09 17:33:08.430,6.619,0.00,0.01,-0.01,,
2018-08-09 17:33:08.478,6.667,0.00,0.01,-0.01,,
2018-08-09 17:33:08.526,6.715,0.00,0.01,-0.01,,
2018-08-09 17:33:08.574,6.763,0.00,0.01,-0.01,,
2018-08-09 17:33:08.638,6.827,0.00,0.01,-0.01,,
2018-08-09 17:33:08.686,6.875,0.00,0.01,-0.01,,
2018-08-09 17:33:08.734,6.923,0.00,0.01,-0.01,,
2018-08-09 17:33:08.782,6.971,0.00,0.01,-0.01,,
2018-08-09 17:33:08.830,7.019,0.00,0.01,-0.01,,
2018-08-09 17:33:08.878,7.067,0.00,0.01,-0.01,,
2018-08-09 17:33:08.926,7.115,0.00,0.01,-0.01,,
2018-08-09 17:33:08.974,7.163,0.00,0.01,-0.01,,
2018-08-09 17:33:09.038,7.227,0.00,0.01,-0.01,,
2018-08-09 17:33:09.086,7.275,0.00,0.01,-0.01,,
2018-08-09 17:33:09.134,7.323,0.00,0.01,-0.01,,
2018-08-09 17:33:09.182,7.371,0.00,0.01,-0.01,,
2018-08-09 17:33:09.230,7.419,0.00,0.01,-0.01,,
2018-08-09 17:33:09.278,7.467,0.00,0.01,-0.01,,
2018-08-09 17:33:09.326,7.515,0.00,0.01,-0.01,,
2018-08-09 17:33:09.374,7.563,0.00,0.01,-0.01,,
2018-08-09 17:33:09.438,7.627,0.00,0.01,-0.01,,
2018-08-09 17:33:09.486,7.675,0.00,0.01,-0.01,,
2018-08-09 17:33:09.534,7.723,0.00,0.01,-0.01,,
2018-08-09 17:33:09.582,7.771,0.00,0.01,-0.01,,
2018-08-09 17:33:09.630,7.819,0.00,0.01,-0.01,,
2018-08-09 17:33:09.677,7.866,0.00,0.01,-0.01,,
2018-08-09 17:33:09.726,7.915,0.00,0.01,-0.01,,
2018-08-09 17:33:09.773,7.962,0.00,0.01,-0.01,,
2018-08-09 17:33:09.837,8.026,0.00,0.01,-0.01,,
2018-08-09 17:33:09.885,8.074,0.00,0.01,-0.01,,
2018-08-09 17:33:09.933,8.122,0.00,0.01,-0.01,,
2018-08-09 17:33:09.981,8.170,0.00,0.01,-0.01,,
2018-08-09 17:33:10.029,8.218,0.00,0.01,-0.01,,
2018-08-09 17:33:10.077,8.266,0.00,0.01,-0.01,,
2018-08-09 17:33:10.125,8.314,0.00,0.01,-0.01,,
2018-08-09 17:33:10.173,8.362,0.00,0.01,-0.01,,
2018-08-09 17:33:10.237,8.426,0.00,0.01,-0.01,,
2018-08-09 17:33:10.285,8.474,0.00,0.01,-0.01,,
2018-08-09 17:33:10.333,8.522,0.00,0.01,-0.01,,
2018-08-09 17:33:10.381,8.570,0.00,0.01,-0.01,,
2018-08-09 17:33:10.429,8.618,0.00,0.01,-0.01,,
2018-08-09 17:33:10.477,8.666,0.00,0.01,-0.01,,
2018-08-09 17:33:10.525,8.714,0.00,0.01,-0.01,,
2018-08-09 17:33:10.573,8.762,0.00,0.01,-0.01,,
2018-08-09 17:33:10.637,8.826,0.00,0.01,-0.01,,
2018-08-09 17:33:10.685,8.874,0.00,0.01,-0.01,,
2018-08-09 17:33:10.733,8.922,0.00,0.01,-0.01,,
2018-08-09 17:33:10.781,8.970,0.00,0.01,-0.01,,
2018-08-09 17:33:10.829,9.018,0.00,0.01,-0.01,,
2018-08-09 17:33:10.877,9.066,0.00,0.01,-0.01,,
2018-08-09 17:33:10.925,9.114,0.00,0.01,-0.01,,
2018-08-09 17:33:10.973,9.162,0.00,0.01,-0.01,,
2018-08-09 17:33:11.037,9.226,0.00,0.01,-0.01,,
2018-08-09 17:33:11.085,9.274,0.00,0.01,-0.01,,
2018-08-09 17:33:11.133,9.322,0.00,0.01,-0.01,,
2018-08-09 17:33:11.181,9.370,0.00,0.01,-0.01,,
2018-08-09 17:33:11.229,9.418,0.00,0.01,-0.01,,
2018-08-09 17:33:11.277,9.466,0.00,0.01,-0.01,,
2018-08-09 17:33:11.325,9.514,0.00,0.01,-0.01,,
2018-08-09 17:33:11.373,9.562,0.00,0.01,-0.01,,
2018-08-09 17:33:11.437,9.626,0.00,0.01,-0.01,,
2018-08-09 17:33:11.485,9.674,0.00,0.01,-0.01,,
2018-08-09 17:33:11.533,9.722,0.00,0.01,-0.01,,
