Loadstar Sensors SensorVUE - Log File
Units for M3-17576:,lbf
Units for Peak (M3-17576):,lbf
Units for Low (M3-17576):,lbf
Logging Interval:,1 sec  (1 Hz)
--------------------------------------------------------------------------------
*** Use custom format 'hh:mm:ss.000' in Microsoft Excel to correctly display the time stamp in milliseconds. ***
------------------------------------------------------------------------------------------------------------------------
Time,Elapsed Time(sec),M3-17576,Peak (M3-17576),Low (M3-17576),
2018-08-09 17:58:24.050,1.012,0.00,0.00,0.00,,
2018-08-09 17:58:25.043,2.005,0.00,0.00,0.00,,
2018-08-09 17:58:26.050,3.012,0.00,0.00,0.00,,
2018-08-09 17:58:27.057,4.019,0.00,0.00,0.00,,
2018-08-09 17:58:28.049,5.011,0.00,0.00,0.00,,
2018-08-09 17:58:29.056,6.018,0.00,0.00,0.00,,
2018-08-09 17:58:30.048,7.010,0.00,0.00,0.00,,
2018-08-09 17:58:31.056,8.018,0.00,0.01,0.00,,
2018-08-09 17:58:32.047,9.009,0.01,0.01,0.00,,
2018-08-09 17:58:33.055,10.017,0.01,0.01,0.00,,
2018-08-09 17:58:34.047,11.009,0.01,0.01,0.00,,
2018-08-09 17:58:35.054,12.016,0.01,0.01,0.00,,
2018-08-09 17:58:36.094,13.056,0.01,0.01,0.00,,
2018-08-09 17:58:37.054,14.016,0.01,0.01,0.00,,
2018-08-09 17:58:38.045,15.007,0.01,0.01,0.00,,
2018-08-09 17:58:39.053,16.015,0.01,0.01,0.00,,
2018-08-09 17:58:40.045,17.007,0.01,0.01,0.00,,
2018-08-09 17:58:41.052,18.014,0.01,0.01,0.00,,
2018-08-09 17:58:42.076,19.038,0.01,0.01,0.00,,
2018-08-09 17:58:43.099,20.061,0.01,0.01,0.00,,
2018-08-09 17:58:44.043,21.005,0.01,0.02,0.00,,
2018-08-09 17:58:45.051,22.013,0.02,0.02,0.00,,
2018-08-09 17:58:46.042,23.004,0.02,0.02,0.00,,
2018-08-09 17:58:47.050,24.012,0.02,0.02,0.00,,
2018-08-09 17:58:48.058,25.020,0.02,0.02,0.00,,
2018-08-09 17:58:49.098,26.060,0.02,0.02,0.00,,
2018-08-09 17:58:50.057,27.019,0.02,0.02,0.00,,
2018-08-09 17:58:51.049,28.011,0.02,0.02,0.00,,
2018-08-09 17:58:52.056,29.018,0.02,0.02,0.00,,
2018-08-09 17:58:53.048,30.010,0.02,0.02,0.00,,
2018-08-09 17:58:54.055,31.017,0.02,0.02,0.00,,
2018-08-09 17:58:55.063,32.025,0.02,0.02,0.00,,
2018-08-09 17:58:56.055,33.017,0.02,0.02,0.00,,
2018-08-09 17:58:57.046,34.008,0.02,0.02,0.00,,
2018-08-09 17:58:58.054,35.016,0.02,0.02,0.00,,
2018-08-09 17:58:59.046,36.008,0.02,0.02,0.00,,
2018-08-09 17:59:00.053,37.015,0.02,0.02,0.00,,
2018-08-09 17:59:01.045,38.007,0.02,0.03,0.00,,
2018-08-09 17:59:02.100,39.062,0.02,0.03,0.00,,
2018-08-09 17:59:03.044,40.006,0.02,0.03,0.00,,
2018-08-09 17:59:04.052,41.014,0.02,0.03,0.00,,
2018-08-09 17:59:05.043,42.005,0.02,0.03,0.00,,
2018-08-09 17:59:06.051,43.013,0.02,0.03,0.00,,
2018-08-09 17:59:07.058,44.020,0.03,0.04,0.00,,
2018-08-09 17:59:08.082,45.044,0.02,0.04,0.00,,
2018-08-09 17:59:09.058,46.020,0.02,0.04,0.00,,
2018-08-09 17:59:10.049,47.011,0.02,0.04,0.00,,
2018-08-09 17:59:11.057,48.019,0.02,0.04,0.00,,
2018-08-09 17:59:12.049,49.011,0.02,0.04,0.00,,
2018-08-09 17:59:13.057,50.019,0.02,0.04,0.00,,
